src,width,height,bytes,format,role,decision,reason
"/campaign/home-workation-editorial-v1.webp","1600","900","71074","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/itoshima-coast-editorial-v1.webp","1920","1280","135316","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/programs-editorial-coastal-work-v1.webp","1672","941","68862","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/trip-sets/busan-weekend-editorial-v1.webp","1536","1024","251178","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/trip-sets/fukuoka-3n4d-editorial-v1.webp","1536","1024","114352","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/trip-sets/osaka-friends-editorial-v1.webp","1536","1024","120372","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/campaign/trip-sets/seoul-3n4d-editorial-v1.webp","1536","1024","118210","webp","editorial_illustrative","KEEP_WITH_DISCLOSURE","Generated editorial image; must not imply a real venue, product or participant."
"/covers/act-bali-ubud-ai.jpeg","960","640","166379","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-danang-banahills-ai.jpeg","960","640","134133","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-fukuoka-bustour-ai.jpeg","960","640","165246","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-klook-elephant-chiangmai-ai.jpeg","960","640","158053","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
"/covers/act-klook-nusapenida-bali-ai.jpeg","960","640","126569","jpeg","inactive_or_derivative","ARCHIVE_REVIEW","No exact customer-facing source reference was found."
